comment,comment_cleaned,n_star,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
"Mới mua máy này Tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình",mới mua máy này tại thegioididong thốt_nốt cảm_thấy tốt pin trâu chụp ảnh đẹp loa nghe to bắt wifi khỏe sóng tốt định_giá_thành vừa với túi_tiền nhân_viên tư_vấn nhiệt_tình,5,3,3,0,3,3,0,3,0,3,0
Pin kém còn lại miễn chê mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không,pin kém còn lại miễn không_thích mua 8 3 2019 tình_trạng pin còn 88 có ai giống tôi không,5,1,0,0,0,3,0,0,0,0,0
Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy(lúc có lúc không),sao lúc gọi điện_thoại màn_hình chấm nhỏ nháy gần camera trước_vậy lúc có lúc không,3,0,0,0,1,0,0,0,0,0,0
"Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy",mọi người cập_nhật phần_mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng tốt nhưng vân tay không_nhạy,3,2,0,0,1,2,0,0,0,0,0
"Mới mua Sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...",mới mua xài được 1 tháng thấy pin rất trâu xài bao nhanh nhưng có 1 lỗi nhỏ mình nghe nhạc bằng tai_nghe nghe hơi lâu không_biết sao nó không_nghe được nữa mất rút tai_nghe_ra cắm vào lại nó mới nghe được,5,3,0,0,0,0,3,0,0,1,0
"Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi",xài tốt rất nhanh pin trâu nếu bạn để độ sáng vừa đủ nhân_viên nhiệt_tình vui_vẻ nói_chung tầm giá này máy này quá tốt rồi,5,2,0,0,0,3,3,2,0,3,0
Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game ko chơi,mình mới xài được 7 tháng xuống 7 pin chẳng_hiểu máy mới kiểu gì nữa dùng cơ_bản lướt web cơ_bản trò_chơi không_chơi,1,1,0,0,0,0,0,0,0,0,0
"Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời.  T đã tắt tất cả mạng, ứng dung, game và cấm ko cho chạy nền, cũng ko vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy",tại_sao điện_thoại mới sạc nó nóng máy lên quá trời tôi đã tắt tất_cả mạng ứng dùng trò_chơi và cấm không_cho chạy nền cũng không_vừa sạc vừa dùng điện_thoại nóng quá trời sạc 3 tiếng mới đầy,2,1,0,0,0,0,0,0,0,0,0
"Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lang khó chịu vl. Sạc thì lâu, k bao giờ dungg oppo nữa.",lúc đầu định mua samsung vào cửa_hàng nhân_viên tư_vấn oppo a9 thất_vọng thực_sự khi dùng oppo màn_hình hiển_thị tối_om máy chơi trò_chơi giật lang khó_chịu vl sạc lâu không_bao_giờ dungg oppo nữa,1,1,0,0,0,0,1,0,1,1,0
Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,mọi thứ đều ngon trong tầm giá lần đầu xài xiaomi cảm_thấy rất hài_lòng về chất_lượng,5,0,0,0,0,3,0,2,0,3,0
"Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời",khá tốt trong tầm giá camera đẹp sạc nhanh màn_hình đẹp âm_thanh hay rất phù_hợp với người thích chơi trò_chơi tuy_nhiên màn_hình hơi tối so với ngoài_trời,5,3,3,0,3,3,0,2,2,0,0
"Đi thoại mượt chơi game ngon 
Âm báo thức bật maxloa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình",đi thoại nhanh chơi trò_chơi ngon âm báo_thức bật maxloa luôn nghe vẫn nhỏ nhân_viên phục_vụ nhiệt_tình,4,0,0,0,1,0,3,0,0,3,0
"Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nv phục vụ nhiệt tình và chu đáo",máy rất tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi tựa trò_chơi ở cấu_hình vừa phải tốt chỉ có đều cảm_biến vân tay quang_học trong màn_hình hơi chậm không_có hỗ_trợ chụp đêm nên chụp trong đêm hơi xấu còn nhân_viên phục_vụ nhiệt_tình và chu_đáo,5,3,2,0,1,3,3,2,3,3,0
"Mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận",mình mua được 1 tuần máy đang phát trực_tiếp tự_nhiên tắt nguồn bắt sống wifi quá yêu hối_hận,1,0,0,0,1,1,1,0,0,0,0
"Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi",sản_phẩm quá tuyệt_vời iphone 7plus camera đẹp chơi trò_chơi không_sợ 1 trò_chơi nào nặng rất nhanh nhưng trò_chơi nào có đồ_họa cao chơi sẽ sụt pin rất nhanh máy nóng nhưng không_sao iphone 7 plus tuyệt_vời lắm rồi,5,1,3,0,0,3,2,0,0,0,0
Dùng ok.. Mượt k nóng..( đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng) Nhân viên nhiệt tình..,dùng tốt nhanh không_nóng điện_thoại có 5 6 triệu mở max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình,5,0,0,0,0,3,3,0,0,3,0
"Mới mua được 1 ngày. Ck dùng j6+, còn mình dùng con này. Wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. K hieur vì sao nữa. Dùng thấy bực mình.",mới mua được 1 ngày ck dùng j6 còn mình dùng con này wifi ck mình lúc_nào cũng 3 vạch điện_thoại này lúc 2 vạch lúc 1 vạch lúc đứng luôn không_hieur vì_sao nữa dùng thấy bực_mình,3,0,0,0,1,0,0,0,0,0,0
Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,dùng cứ đứng máy máy bấm mãi mới khởi_động lại song nóng ran lên chán không_buồn nói kêu bảo_hành phần_mềm chọn đời dùng chưa_được đã hỏng,1,0,0,0,0,0,1,0,0,0,0
"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng",lỗi phầm mềm sạc pin không_vào đem ra bảo_trì cài lại máy _ vẫn không_hết lỗi mua quả máy 4tr100 nghìn ram 3gb về để chơi pubg giật vãi chưởng,1,1,0,0,0,0,1,2,0,0,0
Máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,máy dùng tốt với tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy chưa_tới 2tr ưng ghê luôn á mọi người nên mua,5,3,0,0,0,3,3,2,0,0,0
Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,sạc pin 100 rồi để không_10h không_hao nào s mọi người cứ kêu hao pin nhanh s nhỉ mình thasy pin rất trâu lun,5,3,0,0,0,0,0,0,0,0,0
